"UrbanRural","NewExist","Term","NoEmp","GrAppv","SBA_Appv","DisbursementGross","Default"
1,1,100,1,10000,8500,10000,TRUE
0,2,84,3,46500,37200,46500,FALSE
1,1,103,1,5000,4250,5000,TRUE
0,1,120,2,451000,338250,451000,FALSE
1,1,84,7,50000,25000,50000,FALSE
1,2,264,2,134200,114070,131200,FALSE
0,1,180,11,310000,248000,310000,FALSE
1,1,55,5,50000,25000,50000,TRUE
1,1,84,5,50000,25000,50000,FALSE
1,1,300,6,246000,184500,246000,FALSE
0,1,60,6,80000,72000,80000,FALSE
1,2,120,1,25000,12500,41842,FALSE
2,1,84,16,150000,127500,150000,FALSE
0,2,84,1,16452,14807,16452,FALSE
0,1,303,10,100000,80000,100000,FALSE
2,1,60,5,25000,12500,25000,FALSE
0,1,180,10,500000,375000,500000,FALSE
2,1,120,10,200000,100000,200000,FALSE
1,1,48,3,75000,37500,229000,FALSE
2,2,60,6,40000,32000,40000,FALSE
1,1,84,1,15000,12750,15000,FALSE
1,2,84,1,60000,51000,60000,FALSE
1,1,116,3,10000,9000,10000,TRUE
0,2,102,3,80000,72000,80000,TRUE
1,1,84,2,125000,106250,125000,FALSE
1,2,84,4,10000,5000,18188,FALSE
1,1,63,1,15000,7500,17627,TRUE
2,1,84,17,180000,135000,180000,FALSE
1,1,49,4,35000,17500,64244,TRUE
1,1,84,3,10000,5000,10000,FALSE
2,1,84,1,10000,5000,10000,FALSE
1,1,120,5,450000,337500,450000,FALSE
0,1,12,65,700000,525000,700000,FALSE
1,2,66,25,25000,12500,25000,TRUE
1,1,60,15,40000,34000,40000,FALSE
0,1,84,15,300000,264000,300000,TRUE
1,1,44,6,351200,263400,351200,TRUE
1,1,93,4,120000,60000,120000,TRUE
0,1,84,5,200000,150000,200000,FALSE
0,2,84,1,20000,18000,20000,FALSE
1,2,60,1,50000,42500,50000,FALSE
1,1,120,1,500000,375000,500000,FALSE
0,1,36,4,35000,17500,69999,FALSE
2,2,48,1,19000,16150,19000,FALSE
1,1,84,13,50000,25000,60115,FALSE
1,1,60,85,150000,75000,150000,FALSE
0,1,240,3,96520,77216,87500,FALSE
2,2,120,2,41250,35062,41250,FALSE
1,2,59,2,25000,12500,52742,TRUE
2,1,60,20,100000,50000,60000,FALSE
1,1,240,35,599000,599000,599000,FALSE
2,1,78,3,35000,35000,35000,FALSE
0,2,180,1,100000,90000,100000,FALSE
0,1,180,2,269000,228650,269000,FALSE
2,1,50,2,25000,12500,30680,TRUE
2,2,48,1,46300,23150,46300,FALSE
1,1,60,8,25000,12500,25000,FALSE
2,1,42,55,25000,12500,25000,TRUE
2,2,123,1,100000,50000,76886,FALSE
0,1,120,1,250000,175000,250000,FALSE
1,1,84,2,25000,12500,45270,FALSE
0,1,240,7,69000,69000,69000,FALSE
0,1,240,4,405000,303750,405000,FALSE
0,2,180,5,265000,198750,265000,FALSE
1,1,48,2,5000,2500,5000,FALSE
1,1,168,23,232000,174000,232000,FALSE
1,1,69,6,50000,25000,50000,TRUE
2,1,4,2,23000,11500,23000,TRUE
1,1,48,2,50000,25000,50000,FALSE
0,1,120,10,100000,90000,100000,FALSE
0,1,240,18,83000,83000,83000,FALSE
1,1,20,3,50000,25000,100000,TRUE
0,1,120,3,93000,83700,93000,FALSE
1,1,84,4,90000,72000,70000,FALSE
1,1,84,2,37000,18500,42000,FALSE
0,1,60,1,50000,40000,50000,FALSE
1,1,71,5,350000,175000,1825770,FALSE
1,1,300,33,544400,408300,544400,FALSE
0,2,283,20,35000,28000,35000,FALSE
1,1,20,50,25000,12500,37100,FALSE
1,1,60,2,35000,17500,35000,FALSE
2,1,47,15,225000,112500,784348,FALSE
1,2,123,2,262000,196500,262000,FALSE
1,2,84,1,10000,5000,11500,FALSE
1,1,60,2,35000,17500,35000,FALSE
1,1,48,5,10500,5250,10500,FALSE
1,1,84,75,120000,90000,120000,FALSE
1,1,59,1,30000,15000,80377,TRUE
1,1,56,8,25000,12500,70723,TRUE
1,1,12,2,11000,5500,11000,FALSE
0,1,322,15,390000,277500,390000,FALSE
2,2,84,4,45000,22500,65050,FALSE
0,2,6,3,12000,10800,12000,FALSE
0,1,65,1,50000,44000,50000,TRUE
1,2,84,2,10000,5000,14000,FALSE
0,1,84,1,184000,138000,164000,FALSE
0,1,180,6,168000,126000,168000,FALSE
1,1,66,2,35000,17500,35192,TRUE
1,1,84,7,50000,25000,50000,FALSE
1,1,43,12,35000,35000,35000,TRUE
0,2,72,3,50000,37500,50000,FALSE
1,1,84,2,35000,17500,35000,FALSE
1,1,120,13,308000,308000,308000,FALSE
1,2,84,2,10000,5000,21377,FALSE
0,1,180,6,35000,31500,35000,FALSE
0,1,240,12,97000,97000,97000,FALSE
1,2,120,2,150000,127500,150000,FALSE
1,2,66,1,35000,29750,35000,FALSE
1,1,188,5,300000,225000,300000,FALSE
1,1,50,2,20000,10000,20000,TRUE
1,1,84,7,85000,68000,85000,FALSE
0,1,80,4,215000,161250,215000,FALSE
0,1,132,2,125000,112500,125000,FALSE
1,2,123,1,267400,200550,267400,FALSE
2,2,120,3,175000,131250,175000,FALSE
0,2,240,1,120000,90000,120000,FALSE
1,2,77,1,15000,7500,10500,FALSE
1,2,54,3,112500,95625,112500,TRUE
1,1,120,14,140000,105000,140000,FALSE
0,1,84,15,300000,225000,300000,FALSE
1,1,84,40,290000,217500,244100,FALSE
2,1,56,5,50000,25000,50000,TRUE
1,1,120,3,260000,195000,260000,FALSE
1,1,240,10,515048,463543,515048,FALSE
1,2,40,10,150000,127500,150000,TRUE
1,1,190,4,1100000,825000,1100000,FALSE
1,1,84,1,2000,1000,11172,FALSE
0,1,255,12,384000,268800,384000,FALSE
2,1,27,2,50000,25000,101262,TRUE
1,2,120,0,110000,93500,110000,FALSE
0,1,120,34,700000,525000,700000,FALSE
0,1,180,12,125000,102500,125000,FALSE
0,1,120,25,400000,330000,400000,FALSE
2,1,300,15,1330000,997500,1330000,FALSE
1,1,60,4,50000,25000,50000,FALSE
1,2,274,1,2000000,1500000,2000000,TRUE
1,1,12,65,294635,220976,285809,FALSE
1,1,240,8,181000,181000,181000,FALSE
1,2,84,2,5000,2500,5000,FALSE
1,2,264,7,135000,114750,127044,FALSE
1,1,60,1,50000,25000,50000,FALSE
1,1,84,6,25000,12500,25000,FALSE
0,1,103,5,25000,20000,25000,FALSE
0,1,240,1,145000,108750,145000,FALSE
0,1,180,30,76000,76000,76000,FALSE
0,2,84,10,155000,116250,155000,FALSE
1,1,84,80,100000,50000,100000,FALSE
1,1,60,1,20000,10000,20000,FALSE
1,1,300,5,325000,243750,325000,FALSE
1,1,240,16,135000,114750,135000,FALSE
0,2,60,4,79650,63720,79650,FALSE
1,1,54,1,150000,75000,329569,TRUE
2,1,48,4,20000,10000,20000,FALSE
1,1,240,7,274000,274000,274000,FALSE
2,2,84,1,33200,16600,81903,FALSE
1,1,104,6,307000,230250,307000,TRUE
1,1,120,20,850000,637500,850000,FALSE
1,1,84,2,10000,5000,10000,FALSE
1,1,33,8,10000,5000,15373,TRUE
1,1,120,8,225000,168750,195000,FALSE
0,1,84,8,100000,90000,100000,FALSE
1,1,84,3,75000,37500,154188,FALSE
1,1,60,25,250000,125000,250000,FALSE
0,1,180,9,250000,212500,250000,FALSE
0,1,60,1,56000,28000,56000,FALSE
0,1,240,2,99000,99000,99000,FALSE
0,1,120,6,119000,95200,119000,FALSE
0,2,60,4,24000,21600,24000,FALSE
0,1,8,12,200000,180000,200000,FALSE
2,2,60,2,14000,7000,14000,FALSE
1,1,84,4,75000,37500,105000,FALSE
1,1,50,1,35000,17500,65000,TRUE
1,1,84,2,135000,114750,131294,FALSE
1,1,48,11,97000,48500,97000,FALSE
0,1,84,4,80000,64000,80000,FALSE
0,2,168,17,945000,708750,945000,FALSE
0,1,84,30,25000,12500,49999,FALSE
1,1,48,1,24000,12000,24000,FALSE
0,1,180,2,54000,43200,54000,FALSE
1,1,156,15,238300,178725,238300,FALSE
0,1,240,51,749000,749000,749000,FALSE
1,2,3,1,25000,21250,25000,FALSE
1,1,84,2,135000,67500,37206,FALSE
1,1,120,2,266000,199500,266000,FALSE
0,2,60,1,50000,40000,50000,FALSE
0,2,92,2,80000,64000,80000,FALSE
1,1,48,2,40000,20000,75603,FALSE
2,1,84,3,15000,7500,15000,FALSE
0,2,84,4,100000,80000,64000,FALSE
2,1,84,6,95000,71250,95000,FALSE
1,1,288,2,1233000,924750,1233000,FALSE
1,1,5,25,100000,50000,145000,FALSE
1,1,240,32,99000,99000,99000,FALSE
0,1,300,40,941300,705975,941300,FALSE
0,2,120,14,700000,525000,700000,FALSE
1,1,84,1,20000,10000,48392,FALSE
0,1,240,12,63000,63000,63000,FALSE
1,1,120,35,350000,262500,350000,FALSE
0,1,84,3,49500,44550,49500,FALSE
1,1,25,3,15000,7500,35002,TRUE
1,1,82,1,30000,15000,32766,FALSE
0,1,228,34,600000,510000,600000,FALSE
0,1,84,6,155000,133300,155000,FALSE
1,1,84,4,50000,25000,50000,FALSE
1,2,132,0,271000,243900,271000,FALSE
2,1,120,5,85000,68000,85000,FALSE
1,1,84,3,100000,50000,100000,FALSE
0,1,60,6,76000,60800,76000,FALSE
1,1,60,4,45000,22500,45000,FALSE
1,1,84,10,25000,12500,25000,FALSE
2,1,120,6,130000,110500,130000,FALSE
1,1,84,1,15000,7500,18848,FALSE
1,1,300,80,835200,626400,835200,FALSE
0,1,120,28,275000,233750,275000,FALSE
2,2,180,2,150000,127500,150000,FALSE
0,1,120,7,35000,17500,35000,TRUE
1,1,84,9,5000,2500,6997,FALSE
0,1,22,7,100000,50000,100000,FALSE
1,1,120,11,650000,487500,650000,FALSE
0,1,71,8,53000,47700,53000,FALSE
0,1,120,10,435000,326250,435000,FALSE
1,1,303,1,284000,213000,284000,FALSE
2,1,84,3,150000,127500,150000,FALSE
1,2,84,5,100000,85000,100000,FALSE
0,1,12,9,75000,37500,75000,FALSE
0,1,12,3,50000,25000,50000,FALSE
0,1,120,2,30000,27000,30000,FALSE
2,2,101,1,130000,65000,130000,TRUE
0,2,192,1,368000,312800,368000,FALSE
1,1,120,1,160000,120000,160000,FALSE
0,1,84,11,80000,71048,80000,FALSE
0,1,304,3,190000,142500,190000,FALSE
0,2,84,2,62000,55800,62000,FALSE
2,1,84,3,25000,12500,25000,FALSE
0,1,240,24,1000000,1000000,1000000,FALSE
1,1,84,3,24100,12050,24100,FALSE
0,1,180,2,75000,63825,75000,FALSE
0,1,240,2,635000,476250,635000,FALSE
1,1,300,4,316000,237000,316000,FALSE
0,2,84,2,30000,27000,30000,FALSE
1,1,52,3,50000,25000,97545,TRUE
1,1,84,1,10000,5000,10000,FALSE
0,1,300,6,618000,463500,618000,FALSE
0,1,84,2,36100,28880,36100,FALSE
0,1,180,42,155000,139500,140000,FALSE
0,1,240,16,199800,149850,199800,FALSE
1,2,84,2,15000,12000,15000,FALSE
0,1,1,4,248000,200880,248000,TRUE
1,1,84,5,250000,125000,1504695,FALSE
0,2,48,3,76200,60960,76200,FALSE
1,1,84,3,50000,42500,50000,FALSE
1,1,84,1,30000,15000,46830,FALSE
0,1,57,4,75000,67500,75000,TRUE
0,1,180,4,429600,322200,416600,FALSE
1,1,48,1,25000,12500,52017,FALSE
1,1,84,2,10000,5000,31500,FALSE
0,2,84,2,50000,40000,50000,FALSE
1,1,84,15,425000,318750,425000,FALSE
1,1,240,40,1300000,1300000,1300000,FALSE
1,1,300,2,229500,172125,229500,FALSE
1,2,84,8,25000,12500,25000,FALSE
0,1,300,15,935300,701475,935300,FALSE
2,1,125,15,150000,127500,150000,FALSE
0,1,84,8,46900,42210,46900,FALSE
0,1,240,62,435000,435000,435000,FALSE
0,1,240,175,500000,500000,500000,FALSE
0,1,240,41,250000,187500,250000,FALSE
0,2,120,2,475000,299250,475000,FALSE
0,2,309,10,1000000,750000,1000000,FALSE
1,2,60,1,63500,31750,63500,FALSE
0,2,47,30,151000,135900,151000,TRUE
0,1,60,14,182000,152880,126000,FALSE
1,2,120,4,224000,168000,224000,FALSE
1,2,108,2,100000,80000,100000,FALSE
0,1,84,19,27000,24300,27000,FALSE
0,2,240,10,199000,199000,199000,FALSE
1,1,48,1,25000,21250,25000,TRUE
2,1,240,12,344000,258000,344000,FALSE
1,1,84,2,5000,2500,8251,FALSE
0,1,60,11,10000,5000,10000,FALSE
1,1,84,3,14000,7000,14000,FALSE
1,1,132,4,50000,40000,50000,FALSE
1,1,60,1,19000,9500,19000,FALSE
1,1,240,2,58000,58000,58000,FALSE
0,1,120,4,59000,51743,59000,FALSE
1,1,84,6,50000,25000,68462,FALSE
1,1,240,7,580000,580000,580000,FALSE
1,1,48,5,70000,35000,70000,FALSE
1,1,240,10,455000,455000,455000,FALSE
0,1,12,10,125000,106250,125000,FALSE
2,2,50,4,50000,25000,70000,TRUE
1,1,48,25,150000,75000,150000,FALSE
1,1,48,18,50500,25250,99409,FALSE
1,1,84,2,30000,15000,42480,FALSE
2,1,120,76,250000,187500,250000,FALSE
1,1,84,1,5000,2500,5000,FALSE
1,1,23,2,90000,45000,90000,TRUE
0,2,120,1,35000,28000,35000,FALSE
2,1,38,2,15000,7500,17500,FALSE
1,1,60,50,180000,135000,180000,FALSE
2,2,104,25,419112,314334,419112,TRUE
1,1,240,200,1300000,1300000,1300000,FALSE
1,2,84,2,10000,5000,10000,FALSE
1,1,71,3,50000,25000,80000,TRUE
2,1,84,1,10000,5000,10000,FALSE
1,2,84,7,100000,50000,194500,FALSE
1,1,34,4,50000,40000,50000,TRUE
1,1,85,3,50000,25000,100466,FALSE
1,1,84,2,25000,12500,25000,FALSE
2,1,84,1,25000,12500,58532,FALSE
1,1,60,3,50000,42500,50000,FALSE
1,1,300,35,1791000,943122,1780000,FALSE
0,1,36,1,25000,22500,25000,FALSE
1,1,60,7,65000,32500,65000,FALSE
0,1,120,9,89000,89000,89000,FALSE
1,1,120,2,250000,187500,250000,FALSE
1,1,240,1,943000,943000,943000,FALSE
2,1,12,1,30000,15000,30442,FALSE
1,1,36,2,40000,20000,40000,FALSE
0,1,240,18,552000,552000,519000,FALSE
1,1,84,1,34000,17000,156318,FALSE
1,1,31,40,30000,15000,34455,TRUE
0,2,84,10,100000,80000,100000,FALSE
0,1,60,3,75000,60000,75000,FALSE
2,2,71,1,10500,5250,17215,FALSE
0,1,60,15,50000,40000,50000,FALSE
0,2,120,6,125000,93750,125000,FALSE
2,2,60,6,50000,25000,230587,FALSE
2,1,60,16,50000,25000,50000,FALSE
1,1,24,5,50000,25000,50000,FALSE
0,1,79,35,500000,405000,429500,TRUE
1,1,47,2,25000,12500,63096,TRUE
0,2,240,11,317500,238125,317500,FALSE
1,1,8,7,100000,50000,148804,TRUE
0,1,300,15,337000,252750,337000,FALSE
0,1,84,11,300000,255000,300000,FALSE
0,1,12,4,75000,60000,75000,FALSE
0,1,84,40,160000,136000,160000,FALSE
0,1,120,16,500000,375000,500000,FALSE
1,1,120,5,80000,40000,80000,FALSE
0,1,12,12,465000,418500,465000,FALSE
1,1,84,20,150000,127500,150000,FALSE
0,0,300,2,1500000,750000,1500000,FALSE
0,1,144,4,230000,195500,230000,FALSE
1,2,21,1,69000,34500,69000,TRUE
0,2,65,3,37000,29600,37000,TRUE
1,1,36,4,19000,9500,19000,FALSE
1,1,120,9,365000,273750,365000,FALSE
2,2,88,2,5000,4250,5000,TRUE
2,1,48,3,8000,4000,8000,FALSE
2,2,66,2,60000,30000,60000,FALSE
0,1,240,8,354000,354000,326000,FALSE
0,1,300,8,600000,450000,600000,FALSE
0,1,240,39,193000,193000,193000,FALSE
1,1,84,2,100000,50000,204808,FALSE
0,1,240,14,330000,247500,330000,FALSE
1,2,50,3,75000,37500,90000,FALSE
0,1,60,80,53200,46390,40000,FALSE
2,2,240,5,118000,118000,118000,FALSE
1,1,120,5,97000,48500,97000,FALSE
1,1,120,3,207500,155625,207500,FALSE
1,1,120,5,410000,307500,410000,FALSE
1,1,60,17,100000,85000,100000,FALSE
2,1,58,4,50000,25000,101515,TRUE
2,1,60,2,21000,10500,21000,FALSE
0,1,222,2,90000,81000,90000,FALSE
1,1,72,2,50000,25000,50000,TRUE
1,2,17,8,10000,5000,12823,FALSE
1,1,84,2,50000,25000,21546,FALSE
1,1,60,236,413300,309975,413300,FALSE
0,1,240,49,217000,217000,217000,FALSE
1,1,60,8,29000,14500,29000,FALSE
0,1,36,2,25000,12500,25000,FALSE
0,1,96,10,80000,68000,80000,FALSE
1,2,24,4,17000,8500,21000,FALSE
1,2,120,8,260000,195000,260000,FALSE
0,1,60,2,25000,12500,25000,FALSE
1,2,46,3,55000,27500,55000,FALSE
0,1,240,33,280000,280000,280000,FALSE
0,1,288,28,765000,650250,765000,FALSE
0,2,66,12,100000,80000,96580,FALSE
1,1,84,3,20000,10000,31911,FALSE
0,1,34,8,35000,31150,35000,FALSE
0,1,120,7,146900,110175,146900,FALSE
0,1,12,16,500000,425000,500000,FALSE
1,1,84,25,250000,125000,300000,FALSE
1,2,121,15,374000,280500,374000,FALSE
1,1,71,2,25000,12500,25000,TRUE
0,1,240,44,211000,211000,211000,FALSE
2,2,222,12,748600,561450,611020,FALSE
0,1,239,28,700000,567000,700000,FALSE
0,1,11,39,1500000,750000,1500000,FALSE
1,1,28,15,35000,17500,35000,TRUE
0,2,73,34,249000,186750,249000,FALSE
0,2,96,2,230000,195500,230000,FALSE
0,1,240,150,1000000,1000000,999000,FALSE
1,1,66,2,20000,10000,44850,TRUE
1,1,9,3,20000,10000,35000,TRUE
2,1,60,2,15000,7500,43871,FALSE
0,1,84,6,68400,54720,68400,FALSE
1,1,300,5,350000,262500,350000,FALSE
0,1,84,20,110000,77000,110000,FALSE
0,2,108,1,725000,543750,725000,FALSE
0,2,240,18,413000,413000,413000,FALSE
0,1,120,8,270000,229500,270000,FALSE
2,1,35,3,10000,5000,10000,TRUE
1,1,84,2,10000,5000,58810,FALSE
1,2,60,2,25000,12500,25000,FALSE
2,1,84,2,146000,124100,146000,FALSE
1,1,84,2,145000,123250,145000,FALSE
1,1,84,20,35000,17500,50577,FALSE
1,2,84,5,100000,50000,100000,FALSE
0,1,84,1,50000,45000,50000,FALSE
2,2,43,5,20000,10000,47286,FALSE
1,1,83,35,150000,75000,150000,FALSE
1,2,60,2,100000,85000,100000,FALSE
0,1,6,16,150000,127500,150000,FALSE
0,1,240,20,288000,288000,288000,FALSE
1,2,36,3,52500,42000,52500,TRUE
1,1,84,3,35000,31500,35000,FALSE
1,2,84,2,86300,64725,86300,FALSE
1,1,240,16,548000,548000,548000,FALSE
0,2,85,1,80000,64000,80000,FALSE
1,1,84,18,250000,125000,602500,FALSE
1,1,84,40,10000,5000,11020,FALSE
0,1,120,5,84000,75600,84000,FALSE
1,1,198,4,328000,246000,328000,FALSE
0,1,84,2,110000,99000,110000,FALSE
1,1,11,10,50000,25000,50000,TRUE
1,1,7,6,50000,25000,50000,TRUE
1,1,76,9,150000,127500,150000,TRUE
1,1,73,1,5000,2500,7000,TRUE
0,1,84,6,96000,76800,96000,FALSE
1,1,86,6,50000,25000,102992,TRUE
1,1,84,3,50000,25000,237158,FALSE
1,1,120,4,156000,117000,156000,FALSE
1,1,57,1,7000,5950,7000,TRUE
0,1,84,5,62000,49600,62000,FALSE
1,1,264,2,30000,25500,30000,FALSE
1,2,120,3,39700,31760,39700,FALSE
0,1,180,2,95000,85500,95000,FALSE
0,1,239,5,71000,71000,69000,FALSE
0,1,60,30,500000,375000,500000,FALSE
0,1,120,4,100000,80000,100000,FALSE
0,1,96,17,80100,67765,80100,TRUE
1,1,81,1,15000,7500,30240,FALSE
0,1,84,4,145000,108750,145000,FALSE
1,1,47,4,50000,25000,50000,FALSE
0,1,90,14,60000,54000,56779,FALSE
0,1,120,19,482000,482000,482000,FALSE
1,2,62,1,106000,79500,106000,TRUE
1,1,36,9,100000,50000,100000,FALSE
1,1,84,8,25000,12500,25681,FALSE
1,1,89,1,5000,4250,5000,TRUE
0,1,120,2,27000,24300,27000,TRUE
1,2,123,13,80000,64000,80000,FALSE
2,1,96,2,91500,77775,91500,FALSE
0,1,60,4,200000,150000,200000,FALSE
1,1,56,1,50000,25000,50000,TRUE
1,1,240,5,104000,104000,104000,FALSE
1,1,60,2,30000,15000,30000,FALSE
2,1,68,2,10000,5000,14591,TRUE
0,2,84,3,95900,76720,95500,FALSE
0,1,183,6,284000,213000,284000,FALSE
2,1,84,2,130000,110500,130000,FALSE
2,1,60,5,133000,113050,133000,FALSE
1,1,84,2,10000,5000,12013,FALSE
0,1,84,62,320000,240000,320000,FALSE
1,1,300,15,562500,421875,562500,FALSE
1,1,24,4,100000,50000,353900,FALSE
2,1,3,24,250000,187500,250000,FALSE
0,1,180,7,75000,56250,75000,FALSE
1,2,124,2,323000,242250,323000,FALSE
1,1,14,1,35000,17500,86809,TRUE
0,1,27,3,75000,67500,75000,FALSE
2,1,60,2,100000,50000,100000,FALSE
2,1,20,2,100000,50000,100000,TRUE
1,2,240,1,233000,174750,233000,FALSE
1,2,240,4,363000,363000,363000,FALSE
1,2,25,8,25300,12650,25300,TRUE
1,1,60,1,20000,10000,32246,FALSE
1,1,84,10,10000,8500,10000,FALSE
2,1,100,20,255000,191250,255000,TRUE
0,1,12,4,50000,37500,83032,FALSE
0,2,84,1,100000,90000,100000,FALSE
1,1,84,11,60000,30000,96429,FALSE
1,1,60,4,50000,25000,50000,FALSE
0,1,300,20,324600,259680,324600,FALSE
0,1,12,28,100000,80000,100000,FALSE
1,1,120,5,12500,10625,12500,FALSE
0,2,84,2,50000,40000,50000,FALSE
1,1,84,3,20000,10000,54883,FALSE
0,2,296,5,214600,182410,214600,FALSE
0,1,300,16,125000,93750,125000,FALSE
2,2,84,1,25000,12500,25000,FALSE
0,1,300,14,403650,302737,403650,FALSE
0,1,300,4,487500,365625,487500,FALSE
0,1,36,5,34000,17000,50341,FALSE
0,1,84,3,50000,40000,50000,FALSE
1,1,84,2,50000,25000,177394,FALSE
1,2,87,0,192000,96000,192000,FALSE
0,1,54,24,100000,85000,100000,FALSE
0,1,276,15,850000,637500,779513,FALSE
2,1,36,2,26000,13000,26337,FALSE
0,1,119,50,400000,320000,400000,FALSE
0,1,180,8,151300,136170,151300,FALSE
2,1,84,9,174925,131194,174925,FALSE
0,1,300,3,1000000,750000,1000000,FALSE
1,2,84,3,36400,18200,36400,FALSE
1,2,75,4,97000,82450,97000,TRUE
1,2,13,1,75000,37500,75000,FALSE
0,1,12,25,100000,50000,100000,FALSE
2,2,240,2,470000,352500,470000,FALSE
1,1,36,2,25000,12500,25000,FALSE
0,1,84,8,75000,60000,75000,FALSE
