"age","area_percentage","height_percentage","land_surface_condition","foundation_type","roof_type","count_families","has_secondary_use","Damage"
5,19,5,"t","r","n",2,0,1
20,5,5,"n","r","n",1,0,1
0,6,4,"t","r","n",1,0,1
90,6,10,"t","r","n",1,0,1
45,6,5,"t","r","q",1,0,1
20,12,3,"n","r","q",1,0,1
0,4,4,"t","r","n",1,0,0
15,3,5,"n","r","n",1,1,1
25,10,6,"n","r","n",1,0,1
65,9,6,"t","r","n",1,0,1
15,7,5,"n","r","n",1,0,1
5,11,3,"n","h","n",1,0,0
70,11,8,"t","r","n",1,1,1
25,5,4,"t","r","n",1,0,1
15,4,4,"t","r","q",1,1,1
5,4,4,"t","r","n",1,0,0
25,17,6,"t","r","n",1,0,1
20,9,7,"o","r","n",1,0,1
5,4,5,"t","w","n",1,0,1
20,6,5,"t","w","n",1,0,1
0,14,12,"t","i","x",1,0,0
40,4,4,"t","r","n",1,0,1
15,11,6,"t","r","q",1,0,1
25,8,9,"t","r","n",1,0,1
30,9,7,"t","r","n",2,0,1
10,9,5,"n","r","n",0,1,1
10,5,4,"t","r","n",1,0,1
5,6,2,"n","w","n",1,0,0
5,3,6,"t","u","n",0,1,1
15,7,5,"t","r","q",1,0,1
10,6,4,"t","r","n",1,0,1
15,26,5,"t","r","n",1,0,1
40,6,4,"t","r","n",1,0,0
5,5,4,"t","h","q",0,0,0
5,4,5,"t","r","n",1,0,1
10,7,8,"n","r","n",1,0,1
5,5,3,"t","r","n",1,0,0
20,5,4,"t","r","n",1,0,1
0,5,3,"t","r","q",0,0,1
150,6,5,"t","r","n",1,0,1
0,12,6,"o","r","n",1,0,1
70,5,4,"t","r","n",1,0,1
25,9,7,"n","r","x",1,0,1
25,6,5,"t","r","n",1,0,1
5,12,3,"t","i","x",0,0,1
5,6,7,"t","r","n",0,0,1
60,7,5,"n","r","n",1,0,1
5,8,2,"n","r","n",1,0,1
5,6,3,"t","r","n",0,0,1
20,7,6,"t","r","q",1,0,1
30,7,6,"t","r","n",1,0,1
5,7,4,"t","r","n",1,0,1
5,5,2,"t","r","q",1,0,1
35,6,5,"t","r","n",1,0,1
15,4,7,"t","r","n",1,0,1
20,5,4,"t","r","n",1,0,1
20,9,6,"t","r","n",1,0,1
5,10,3,"t","r","n",1,0,1
40,9,5,"t","r","n",1,0,1
10,16,5,"t","r","q",1,0,1
10,5,6,"t","r","q",1,0,1
25,4,4,"n","r","q",2,0,1
20,8,7,"t","r","n",1,1,0
5,5,4,"t","r","n",1,0,1
10,4,13,"t","i","x",0,0,1
20,11,6,"t","r","n",1,0,1
10,7,7,"t","r","n",0,1,1
15,5,3,"n","r","n",1,0,0
30,6,5,"t","r","n",1,0,1
25,8,6,"n","r","n",1,0,1
25,9,5,"t","r","n",1,0,1
5,9,3,"t","i","x",1,0,0
35,17,7,"n","r","n",1,0,1
10,5,2,"t","r","n",1,1,1
35,5,2,"t","r","n",1,0,1
10,9,4,"n","r","n",1,0,1
20,8,6,"t","r","q",0,0,1
10,14,2,"t","u","x",1,0,1
15,7,6,"n","r","q",1,0,1
25,10,5,"t","r","q",1,0,1
15,10,7,"t","r","q",2,0,1
5,6,4,"t","r","n",1,0,1
0,3,5,"t","r","n",1,0,1
30,4,4,"t","r","n",1,0,1
20,5,6,"t","r","n",1,0,1
25,19,7,"t","i","x",1,1,1
25,7,6,"t","r","n",1,0,1
25,4,2,"n","r","n",1,0,1
15,5,5,"t","r","n",1,0,1
35,14,8,"n","r","q",1,0,1
20,3,5,"t","r","n",1,0,1
5,3,2,"n","r","n",1,0,1
90,3,9,"t","r","q",1,0,1
0,7,5,"t","r","n",1,0,1
0,7,7,"t","r","q",0,0,1
0,9,6,"t","i","n",1,0,0
5,5,4,"t","r","n",1,0,1
10,6,5,"t","r","n",1,0,1
20,14,6,"n","w","q",1,0,1
0,5,2,"t","r","n",0,0,1
30,6,7,"t","r","n",1,0,1
15,10,5,"o","u","n",0,1,1
10,9,5,"n","r","q",1,0,1
20,10,9,"t","i","x",1,1,0
5,4,10,"t","u","x",1,1,1
15,12,5,"t","r","n",1,0,1
90,3,8,"t","r","n",1,0,1
40,8,6,"t","r","q",1,1,1
35,8,6,"t","r","n",1,0,1
0,8,6,"n","r","n",1,0,1
0,8,5,"t","r","n",1,1,1
15,45,12,"t","i","x",1,0,1
10,6,6,"t","r","n",1,0,1
10,8,5,"t","u","n",1,0,1
25,8,4,"t","r","n",1,0,1
30,17,3,"t","r","n",1,0,1
5,7,5,"t","w","q",1,0,1
5,7,7,"t","r","n",2,0,1
25,13,2,"t","r","n",1,0,1
20,3,5,"t","r","q",1,0,1
10,6,7,"n","u","n",1,1,1
0,7,8,"n","r","q",1,0,1
5,10,3,"t","w","q",1,0,1
20,5,7,"t","r","q",1,0,1
15,7,5,"n","r","n",1,1,1
30,3,5,"n","r","n",0,0,1
5,8,4,"t","r","n",1,0,1
20,13,7,"n","r","n",1,0,1
70,4,10,"t","r","q",1,0,1
50,11,5,"n","r","n",1,0,1
10,10,5,"t","r","n",1,0,1
25,6,5,"t","r","q",1,0,1
35,7,6,"t","r","q",1,0,1
15,5,4,"t","r","n",1,0,1
25,4,4,"t","r","n",1,0,1
20,5,5,"t","u","n",1,1,1
15,8,5,"t","r","n",1,0,1
20,9,7,"t","r","n",1,1,1
0,10,5,"t","u","n",1,0,0
35,5,6,"t","r","q",1,0,1
0,8,7,"t","r","n",1,0,1
45,6,9,"t","r","n",1,0,1
25,13,7,"t","r","n",1,0,1
30,5,5,"t","r","q",1,0,1
5,6,3,"o","r","n",1,0,1
5,5,4,"t","r","q",1,0,1
40,9,6,"n","r","n",1,0,1
15,4,5,"t","r","n",1,0,1
10,4,4,"t","r","q",1,0,1
30,6,5,"t","r","n",1,0,1
5,7,7,"t","r","n",1,0,1
20,8,3,"t","r","n",1,0,1
25,16,5,"t","r","q",1,0,0
10,35,11,"t","i","x",0,1,0
5,4,2,"t","r","n",1,0,1
25,5,6,"t","r","q",1,0,1
35,5,4,"o","r","n",1,0,1
0,4,2,"t","r","n",1,0,1
10,15,6,"t","r","n",1,0,1
25,7,5,"t","r","n",1,0,1
15,7,5,"t","r","n",1,0,1
30,6,7,"t","r","n",1,0,1
20,7,5,"t","r","q",0,1,1
20,7,5,"t","r","n",1,0,1
45,6,5,"t","r","q",1,0,1
0,13,6,"t","i","x",1,0,1
15,14,5,"t","r","q",1,0,1
5,12,4,"t","r","n",1,0,1
15,11,3,"t","r","n",1,0,1
20,11,6,"t","r","q",1,0,1
5,5,5,"t","r","n",1,0,1
35,7,8,"t","r","n",1,0,1
30,7,7,"t","r","n",1,0,1
0,6,5,"t","r","n",1,0,1
55,8,5,"n","r","n",1,0,1
15,6,7,"t","r","q",1,0,1
90,15,13,"t","r","n",2,0,1
10,19,3,"t","r","x",1,0,0
10,10,5,"t","r","n",1,0,1
20,4,5,"t","r","n",1,0,1
15,9,5,"n","r","n",1,0,1
5,3,4,"t","h","n",1,0,0
15,4,2,"t","r","n",1,0,1
65,6,8,"t","r","x",1,0,1
15,8,6,"n","r","q",1,0,1
25,6,7,"n","r","q",0,0,1
40,3,5,"o","r","n",1,0,1
40,9,5,"t","r","q",1,0,1
40,9,7,"t","r","n",1,0,1
5,9,3,"t","w","n",1,0,0
15,3,2,"n","r","n",1,1,1
15,5,4,"t","r","n",1,1,1
5,11,5,"t","r","n",1,0,1
25,6,7,"t","r","n",1,0,1
5,8,7,"t","r","n",1,0,1
15,7,5,"t","r","n",1,0,1
15,15,10,"n","r","n",1,0,1
10,4,4,"t","r","n",0,0,1
25,6,4,"t","r","n",1,0,1
15,9,6,"t","r","n",1,0,1
10,8,5,"t","r","n",1,0,0
50,10,6,"t","r","q",1,0,1
35,6,7,"t","r","n",1,0,1
15,15,5,"t","r","n",2,0,1
25,4,4,"t","r","n",0,0,1
15,9,5,"t","r","n",1,0,1
15,6,4,"t","r","n",1,0,1
15,6,5,"t","r","q",1,0,1
15,14,7,"t","r","n",1,0,1
25,6,4,"t","r","n",1,0,1
30,7,6,"t","r","n",1,0,1
10,6,6,"t","r","n",1,0,1
15,8,5,"o","w","q",1,0,1
40,6,4,"t","r","n",1,0,0
100,13,4,"n","r","q",1,0,1
80,6,8,"t","r","n",1,0,1
10,5,3,"t","r","n",1,0,0
5,4,5,"n","r","q",1,0,1
15,5,8,"t","r","q",2,0,1
0,6,5,"t","r","n",1,0,1
5,7,6,"t","w","q",1,0,1
35,12,6,"t","r","n",1,0,1
5,12,8,"t","i","x",0,1,0
10,6,4,"t","r","n",1,0,1
10,8,5,"t","r","n",1,0,1
40,4,6,"t","r","n",1,0,0
5,12,5,"t","w","q",1,0,1
65,5,3,"t","r","n",1,0,1
10,14,3,"t","i","x",1,0,0
10,9,3,"t","r","n",1,0,1
20,3,5,"t","r","n",1,0,1
80,10,6,"t","r","n",1,0,1
15,5,5,"n","w","n",1,0,0
10,5,2,"t","r","n",1,0,1
10,11,5,"t","i","n",2,1,0
5,4,5,"n","u","q",1,0,1
25,8,5,"t","r","n",1,0,1
10,6,2,"t","r","n",1,0,1
5,3,5,"t","r","n",1,0,1
0,8,3,"t","r","n",1,0,0
15,8,7,"t","r","n",1,0,1
25,6,5,"t","u","q",0,0,1
20,5,5,"t","r","q",1,0,1
25,6,6,"t","r","q",1,0,1
25,15,3,"t","r","n",1,1,1
40,8,6,"t","r","n",1,0,1
45,6,6,"n","r","q",1,0,1
15,10,6,"t","i","x",0,0,0
0,4,2,"t","r","n",1,0,1
30,6,5,"t","r","n",1,1,1
20,3,5,"t","r","n",0,0,1
15,6,3,"t","r","n",1,0,1
5,6,5,"t","w","q",1,0,1
20,6,7,"t","r","n",1,1,1
20,6,8,"t","r","n",1,0,1
10,9,7,"t","r","n",1,0,1
0,7,5,"t","r","n",1,0,1
15,14,8,"o","r","x",2,1,1
5,5,7,"n","r","n",1,0,1
10,8,5,"n","r","n",1,0,1
20,7,4,"t","r","q",1,0,1
10,6,5,"t","r","n",1,0,1
30,11,5,"t","r","n",1,0,1
70,5,4,"t","r","n",1,0,1
35,6,5,"t","r","n",1,0,1
10,4,4,"n","r","n",1,0,1
15,13,5,"t","w","q",1,0,1
0,11,3,"t","r","n",1,0,1
0,14,6,"t","i","x",1,0,0
40,10,6,"o","r","n",1,0,1
0,7,6,"t","u","n",0,0,1
35,5,6,"t","r","q",0,0,1
5,6,6,"t","r","n",1,0,1
10,4,4,"t","r","n",1,0,1
10,7,8,"t","r","n",1,0,1
80,5,5,"t","r","n",1,0,1
5,7,3,"t","r","n",1,0,0
0,2,5,"n","r","n",1,0,1
15,5,4,"t","r","n",1,0,1
5,5,7,"t","w","q",1,1,0
10,7,5,"t","r","n",1,0,1
25,8,5,"n","r","n",1,0,1
10,8,5,"t","r","n",1,0,1
20,6,8,"t","r","n",1,0,1
0,5,4,"t","r","n",0,1,0
20,8,7,"t","r","n",1,0,1
20,5,4,"t","r","n",1,1,1
5,5,5,"n","r","n",0,0,1
10,11,3,"n","r","n",1,0,1
80,5,9,"t","r","n",1,1,1
5,6,5,"t","r","n",1,0,1
25,7,5,"o","u","n",1,0,1
20,18,7,"t","u","x",1,0,0
35,9,6,"t","r","n",0,0,1
40,14,2,"t","r","n",1,0,1
15,5,5,"t","r","n",2,0,1
0,7,8,"t","r","n",1,0,1
20,9,7,"t","r","q",1,0,1
25,7,4,"t","r","n",1,0,1
25,15,3,"t","r","n",0,1,1
5,6,6,"t","r","n",1,0,1
20,6,6,"t","r","q",2,1,1
45,10,10,"t","r","n",1,0,1
20,7,5,"t","r","q",1,1,1
0,7,5,"t","r","n",1,0,0
15,11,8,"n","r","q",1,1,1
0,7,4,"t","r","n",1,0,1
15,5,5,"t","r","q",1,0,1
20,12,5,"t","r","n",1,0,1
35,5,4,"t","r","n",1,1,1
5,6,4,"t","i","x",0,0,0
0,5,2,"t","r","n",0,0,0
0,4,3,"t","u","n",1,0,1
20,8,6,"t","r","q",1,0,0
5,7,7,"t","r","q",1,0,1
50,6,6,"t","r","n",1,0,1
20,6,5,"n","r","n",1,0,1
20,6,6,"t","r","q",1,0,1
15,6,6,"t","r","q",1,0,1
5,18,18,"o","i","x",1,1,1
35,10,5,"t","r","n",1,0,1
30,13,4,"t","r","n",1,0,1
15,7,8,"t","r","q",1,0,1
15,6,5,"t","r","n",1,1,1
5,5,5,"n","r","n",2,0,1
0,5,4,"t","r","n",1,0,1
10,7,7,"t","r","n",1,0,1
5,7,15,"t","i","x",1,1,0
20,19,3,"t","i","x",0,0,0
10,9,7,"t","r","q",1,0,1
20,5,5,"t","r","n",1,1,1
0,11,5,"t","r","n",1,0,1
25,4,4,"n","r","q",1,0,1
15,9,7,"t","r","n",1,0,1
10,15,5,"t","r","n",1,1,0
10,4,4,"t","r","n",1,0,1
5,9,5,"t","r","n",1,0,1
0,5,4,"t","w","n",1,0,1
10,5,5,"t","r","n",1,0,1
60,10,7,"t","r","q",1,0,1
0,3,3,"t","w","n",1,0,0
5,8,6,"o","r","n",1,0,1
30,6,4,"t","r","n",1,1,1
35,11,5,"t","r","n",1,0,1
35,3,6,"t","r","n",1,1,1
0,17,12,"t","i","x",1,0,0
20,4,5,"t","w","q",1,0,1
10,5,3,"t","r","n",1,0,1
20,5,4,"t","r","n",0,0,1
20,4,9,"t","r","n",1,0,1
10,10,4,"t","w","n",1,1,0
20,5,5,"t","r","q",1,0,1
10,15,3,"t","r","x",0,1,0
15,8,6,"t","r","n",1,0,1
25,7,5,"t","r","q",1,0,1
5,8,4,"t","r","n",1,0,1
5,13,7,"t","r","n",1,0,1
5,6,6,"t","r","n",1,0,1
5,10,3,"t","r","n",1,0,0
0,10,3,"t","r","n",1,0,1
30,8,6,"t","r","n",1,0,1
10,6,6,"t","r","n",2,0,1
5,4,5,"t","r","n",1,0,1
30,16,8,"t","r","n",1,0,1
40,6,3,"t","r","q",1,0,1
25,7,7,"t","r","n",1,0,1
10,6,5,"t","r","n",1,1,1
5,4,3,"o","r","n",1,0,1
0,8,8,"t","r","n",2,0,1
20,12,3,"t","r","n",1,0,1
5,17,3,"t","w","n",1,0,1
25,5,6,"t","r","n",0,0,1
5,9,5,"t","r","n",2,0,1
35,5,4,"t","r","n",0,0,1
5,5,3,"t","i","x",0,1,0
40,3,5,"t","r","n",1,0,1
25,18,5,"t","r","n",1,0,1
20,6,7,"t","r","n",1,1,1
20,7,5,"t","r","n",1,0,1
130,3,5,"n","r","q",1,0,1
15,10,8,"t","r","n",1,0,0
20,8,8,"n","r","q",1,0,1
5,11,7,"t","r","q",1,0,1
25,9,7,"t","r","n",2,0,1
55,7,8,"t","r","n",0,0,1
55,7,7,"t","r","n",1,0,1
40,4,7,"n","r","n",2,0,1
10,7,5,"t","r","n",1,0,1
15,8,5,"t","r","n",1,0,1
0,5,3,"t","u","n",1,0,1
25,3,8,"t","r","q",1,0,1
0,8,6,"t","r","q",1,0,0
10,9,7,"t","i","x",0,0,0
15,8,7,"t","r","n",1,0,1
5,7,5,"t","r","n",1,0,1
15,7,5,"t","r","n",1,0,1
10,10,7,"t","r","x",1,0,1
45,7,5,"t","r","n",1,1,1
50,7,5,"t","r","q",1,0,1
55,7,8,"t","r","q",1,0,1
15,5,5,"n","r","n",1,0,1
40,5,7,"t","r","n",1,0,1
0,23,4,"t","i","x",1,0,0
5,5,5,"t","r","n",1,0,1
15,9,9,"t","u","n",1,0,1
100,15,8,"t","r","n",1,0,1
5,5,5,"n","r","n",1,0,1
95,7,8,"t","r","q",1,0,1
0,9,7,"o","i","x",1,0,0
25,6,7,"t","r","n",1,1,1
15,6,5,"t","r","n",1,0,1
35,11,5,"t","r","n",1,0,1
30,6,3,"t","r","x",0,0,1
35,10,7,"t","r","n",0,0,1
25,10,7,"t","r","n",1,0,1
40,9,5,"t","r","q",1,0,1
10,7,5,"t","r","n",1,0,1
0,5,3,"t","r","n",0,0,1
20,3,5,"t","r","n",1,0,1
75,8,9,"t","r","n",1,0,1
45,3,5,"t","r","n",1,0,1
45,7,5,"n","r","n",1,0,1
0,7,3,"t","w","n",1,0,0
20,8,8,"t","r","q",0,0,1
40,6,7,"t","r","n",1,0,1
60,6,6,"t","r","q",1,0,1
15,7,6,"n","r","n",1,0,1
10,13,4,"t","r","n",1,0,1
30,8,9,"t","r","q",2,0,0
0,7,4,"t","r","q",1,0,1
30,23,6,"t","u","n",1,1,1
55,9,4,"n","r","q",1,0,1
10,6,5,"n","r","q",1,0,1
15,6,7,"t","r","n",1,0,1
35,9,7,"t","r","n",1,0,1
0,4,2,"t","r","n",0,0,0
45,10,6,"n","r","n",1,0,1
10,14,5,"t","u","x",1,1,1
0,7,5,"t","r","n",1,0,0
15,13,5,"t","w","n",1,0,1
15,9,5,"n","r","q",1,0,1
20,9,6,"t","r","q",1,0,1
30,3,6,"t","r","n",1,0,1
15,10,5,"t","r","n",1,0,1
0,3,3,"t","r","n",1,0,1
25,5,5,"n","r","n",1,0,1
30,5,7,"t","r","n",1,0,1
5,6,3,"t","r","q",1,0,1
0,8,5,"t","r","n",0,0,0
10,9,5,"t","r","n",1,0,1
10,7,7,"t","r","q",1,1,1
5,4,2,"t","r","n",1,0,1
10,16,12,"t","i","x",1,1,0
15,6,5,"t","r","q",1,0,1
0,6,6,"t","w","n",1,0,1
5,13,3,"t","u","n",1,0,1
5,6,5,"t","r","n",0,0,1
20,7,7,"t","r","n",1,0,1
20,8,7,"n","r","n",1,0,1
20,7,3,"t","r","n",1,0,0
15,5,5,"t","r","q",1,0,0
0,26,4,"t","r","n",0,1,1
85,7,8,"t","r","n",1,0,1
50,7,4,"t","r","n",0,0,1
20,9,6,"t","r","n",1,0,1
25,9,6,"t","r","q",1,0,1
35,9,7,"n","r","q",1,0,1
5,5,2,"t","r","n",1,0,1
0,5,2,"t","w","q",1,0,1
20,11,12,"t","i","x",1,0,0
10,7,3,"n","u","n",1,0,1
0,7,4,"t","u","n",0,1,1
20,3,5,"t","u","q",1,1,1
25,39,7,"t","r","n",1,0,1
15,15,7,"t","r","n",1,0,1
0,3,10,"t","i","x",0,1,0
0,3,3,"t","w","q",1,0,1
35,4,5,"t","r","n",1,1,1
0,7,7,"t","r","n",0,0,1
80,6,7,"t","r","q",1,0,1
20,8,5,"t","r","n",1,0,1
5,6,7,"t","r","n",1,0,1
25,9,4,"o","r","n",0,0,1
25,6,5,"t","r","q",1,0,1
0,3,4,"t","r","n",0,0,1
15,8,6,"t","r","n",1,0,1
0,6,7,"t","r","n",1,0,1
30,8,6,"n","r","n",1,0,1
20,10,5,"t","r","q",2,0,1
20,6,6,"t","r","q",0,0,1
0,4,5,"t","w","n",1,0,1
5,14,5,"t","r","n",1,1,1
60,8,7,"t","r","n",0,0,1
0,5,5,"t","w","q",1,0,1
10,6,5,"t","w","n",1,0,1
15,8,6,"t","r","n",1,0,1
90,6,3,"t","r","n",0,0,1
15,4,6,"t","r","n",1,0,1
15,2,3,"t","r","n",1,0,1
5,11,3,"t","i","x",1,1,0
20,10,5,"t","r","n",2,0,1
20,3,5,"t","r","n",0,0,1
5,6,5,"t","r","n",1,0,1
50,6,7,"t","r","n",1,0,1
40,8,11,"t","u","n",1,0,1
5,5,3,"t","r","n",1,0,1
5,7,8,"t","i","x",1,0,1
35,12,6,"t","r","q",1,0,1
0,7,5,"t","u","n",1,0,1
80,3,4,"t","r","n",1,0,1
10,5,7,"t","r","q",1,0,0
5,7,5,"t","r","n",1,0,1
35,5,3,"t","r","n",1,0,1
5,2,2,"t","r","q",0,0,1
0,11,3,"t","w","n",1,0,1
20,6,5,"t","r","n",1,0,1
0,12,3,"t","r","x",1,0,0
5,8,5,"t","u","x",1,0,1
10,9,5,"t","r","q",1,0,1
5,6,6,"t","w","n",1,0,0
0,12,5,"t","r","n",1,0,1
10,6,3,"t","r","n",1,0,1
10,4,4,"t","r","q",1,0,1
10,4,6,"t","r","n",1,0,1
30,4,5,"t","r","n",1,1,1
55,5,6,"t","r","q",1,0,1
0,8,3,"t","r","n",1,0,1
15,20,8,"t","i","x",1,0,1
10,6,4,"t","r","n",1,0,1
15,3,7,"t","r","n",1,0,1
5,4,3,"t","r","n",1,0,1
10,9,5,"t","u","n",1,0,1
30,7,4,"n","r","n",1,0,1
25,7,3,"t","r","n",1,0,1
10,13,2,"t","r","x",1,0,0
5,5,7,"n","r","q",1,0,1
55,6,6,"t","r","q",1,0,1
5,6,6,"n","r","q",2,0,1
25,6,4,"t","r","q",1,0,1
0,6,3,"t","r","n",1,0,1
15,4,4,"t","r","n",1,0,1
55,4,3,"t","r","n",1,0,1
0,12,4,"t","i","x",1,0,1
50,9,5,"t","r","n",1,0,1
25,13,5,"t","r","n",1,0,1
40,9,6,"t","r","q",1,0,1
15,6,5,"n","r","n",1,0,1
15,5,5,"t","r","n",1,0,1
20,24,7,"t","r","n",1,0,1
50,17,7,"t","r","n",1,0,1
35,10,6,"t","r","q",1,0,1
5,8,4,"n","w","n",1,0,0
20,4,7,"t","r","q",1,0,1
0,6,3,"t","w","q",1,0,0
15,9,6,"t","r","q",1,0,1
25,8,2,"o","r","n",1,0,1
0,3,4,"t","r","n",1,0,1
30,13,5,"t","r","n",2,0,1
5,6,7,"t","r","n",1,0,1
0,7,3,"t","u","n",1,0,1
15,8,6,"t","r","q",1,0,1
60,3,10,"t","r","n",1,0,1
25,8,5,"t","r","n",1,0,1
5,6,6,"t","r","n",1,0,1
80,7,5,"t","r","q",1,0,1
40,6,8,"n","r","n",1,0,1
60,15,7,"t","r","n",0,0,1
10,8,5,"t","r","n",1,0,1
30,3,5,"t","r","n",0,0,1
25,4,7,"t","r","n",1,0,0
15,9,6,"t","r","n",1,0,1
10,6,7,"t","r","n",2,0,1
10,5,9,"t","r","n",1,0,1
30,8,5,"t","r","n",1,0,1
35,11,7,"t","r","n",1,0,1
15,7,5,"t","r","n",1,0,1
0,8,5,"t","r","n",1,1,1
25,10,4,"t","r","q",1,0,1
35,6,9,"t","r","n",1,0,1
5,6,5,"t","u","n",1,0,1
10,4,4,"t","r","x",1,1,0
5,4,2,"t","w","n",1,0,0
20,6,3,"n","r","q",1,0,1
25,6,7,"t","u","n",0,0,1
10,8,4,"t","r","n",2,0,1
70,8,13,"t","r","n",1,0,1
5,2,3,"t","w","q",1,0,1
10,14,6,"t","r","q",1,0,1
0,13,8,"t","r","n",1,1,0
50,10,5,"n","r","n",1,0,1
40,4,6,"t","r","q",1,0,1
20,13,6,"t","r","n",1,1,1
10,12,4,"t","w","q",1,0,0
5,18,3,"t","r","n",2,0,1
25,5,6,"t","r","n",1,0,1
0,11,3,"t","r","n",1,0,0
20,7,7,"t","r","n",1,0,1
20,7,8,"t","r","n",1,0,1
5,4,5,"t","r","n",0,0,1
20,27,3,"t","i","x",0,0,0
45,3,4,"t","r","n",1,0,1
40,7,5,"t","r","n",1,0,1
0,6,3,"t","r","n",1,1,1
0,4,3,"t","w","n",1,0,1
40,5,3,"t","r","n",1,0,1
15,6,5,"t","r","n",1,0,1
5,8,4,"t","r","n",1,0,0
15,10,6,"t","r","n",1,0,1
0,2,4,"t","w","n",1,0,1
15,5,6,"t","r","n",1,0,1
5,4,3,"t","r","n",1,0,1
15,4,7,"n","r","n",1,0,1
10,6,4,"t","r","n",1,0,1
0,23,3,"t","i","x",1,0,0
10,8,5,"t","r","n",1,0,1
5,6,6,"t","r","n",1,0,1
15,5,5,"n","r","n",1,0,1
30,8,5,"o","r","q",1,0,1
20,6,6,"t","w","q",1,0,0
25,6,11,"t","r","n",1,0,1
15,3,7,"o","i","x",1,0,1
60,10,11,"t","r","n",1,1,1
10,7,4,"t","r","n",1,0,1
90,6,10,"t","r","n",1,1,1
20,8,6,"t","r","n",1,0,1
15,5,5,"t","r","n",1,0,1
0,8,3,"t","r","n",1,0,1
70,9,8,"t","r","q",1,0,1
60,7,6,"t","r","n",1,0,1
30,5,7,"t","r","n",2,0,1
25,19,8,"t","r","n",1,0,1
20,11,5,"t","r","n",1,0,1
10,8,5,"t","r","n",0,0,0
25,10,7,"t","r","n",1,1,1
5,7,4,"t","r","q",1,0,1
30,7,5,"t","r","n",1,0,1
15,5,3,"t","r","n",1,0,1
5,5,5,"t","r","n",1,0,1
40,6,8,"o","r","n",1,0,1
10,7,5,"t","r","q",1,0,1
20,7,6,"n","r","n",1,0,1
30,6,7,"t","r","n",1,0,0
15,5,7,"n","r","n",1,0,1
15,10,7,"t","r","q",0,1,1
70,6,7,"t","r","q",1,0,1
20,6,6,"t","r","n",1,0,1
15,5,3,"o","r","n",1,0,1
15,5,3,"t","r","n",1,0,1
10,5,8,"t","w","n",1,1,1
0,6,5,"o","r","n",1,0,0
40,10,5,"t","r","n",1,0,1
5,8,3,"t","i","x",1,0,0
15,11,5,"n","r","q",1,0,1
25,5,4,"t","r","n",1,0,1
10,4,6,"t","r","n",1,0,1
15,9,5,"t","r","n",1,0,1
15,6,5,"t","r","n",1,0,0
15,4,5,"n","r","q",1,0,1
55,6,5,"t","r","q",1,0,1
80,4,9,"t","r","q",0,0,1
5,15,8,"t","r","n",2,0,1
15,4,7,"t","r","n",1,0,1
30,10,7,"t","r","n",0,1,1
35,3,5,"t","r","q",1,0,1
10,11,5,"n","w","n",1,1,0
15,9,6,"t","r","n",1,0,1
15,10,3,"t","r","n",1,0,1
15,12,7,"t","r","q",1,0,1
10,5,4,"t","w","n",2,0,1
20,8,5,"t","r","n",1,0,1
5,11,5,"t","r","n",1,0,1
50,3,10,"t","r","x",1,0,1
5,7,5,"t","r","q",1,1,1
30,6,7,"t","w","n",1,1,1
5,8,6,"t","r","n",1,0,1
30,8,7,"t","r","n",1,0,1
50,5,10,"t","r","n",1,0,1
0,8,3,"t","u","q",1,0,0
